N-NUMBER,NAME,MFR MDL CODE,STATE,YEAR MFR
10156,UNITED AIRLINES INC,3260214,IL,2004
101DQ,DELTA AIR LINES INC,3940005,GA,2020
102DA,DELTA AIR LINES INC,1385132,GA,1982
102DN,DELTA AIR LINES INC,3940005,GA,2020
103DU,DELTA AIR LINES INC,1400012,GA,
104DU,DELTA AIR LINES INC,1400012,GA,
107US,AMERICAN AIRLINES INC,3930316,TX,1999
108DN,DELTA AIR LINES INC,3940005,GA,2021
108NN,AMERICAN AIRLINES INC,3930402,TX,2014
108UW,AMERICAN AIRLINES INC,3930316,TX,1999
109DN,DELTA AIR LINES INC,3940005,GA,2021
109UW,AMERICAN AIRLINES INC,3930316,TX,1999
110AN,AMERICAN AIRLINES INC,3930402,TX,2014
110DX,DELTA AIR LINES INC,3940005,GA,2021
110UW,AMERICAN AIRLINES INC,3930316,TX,1999
11106,UNITED AIRLINES INC,3260214,IL,2002
11107,UNITED AIRLINES INC,3260214,IL,2002
11113,UNITED AIRLINES INC,3260214,IL,2002
11119,UNITED AIRLINES INC,3260214,IL,2002
11121,UNITED AIRLINES INC,3260214,IL,2003
11127,UNITED AIRLINES INC,3260214,IL,2003
11140,UNITED AIRLINES INC,3260214,IL,2003
11150,UNITED AIRLINES INC,3260214,IL,2003
11164,UNITED AIRLINES INC,3260214,IL,2004
11165,UNITED AIRLINES INC,3260214,IL,2004
11176,UNITED AIRLINES INC,3260214,IL,2004
11181,UNITED AIRLINES INC,3260214,IL,2005
11184,UNITED AIRLINES INC,3260214,IL,2005
11187,UNITED AIRLINES INC,3260214,IL,2005
11189,UNITED AIRLINES INC,3260214,IL,2005
11191,UNITED AIRLINES INC,3260214,IL,2005
11192,UNITED AIRLINES INC,3260214,IL,2005
11193,UNITED AIRLINES INC,3260214,IL,2005
11194,UNITED AIRLINES INC,3260214,IL,2005
11199,UNITED AIRLINES INC,3260214,IL,2006
111DC,DELTA AIR LINES INC,3940005,GA,2021
111US,AMERICAN AIRLINES INC,3930316,TX,1999
111ZM,AMERICAN AIRLINES INC,3930402,TX,2014
11206,UNITED AIRLINES INC,13844BZ,IL,2000
112AN,AMERICAN AIRLINES INC,3930402,TX,2014
112DN,DELTA AIR LINES INC,3940305,GA,2021
112US,AMERICAN AIRLINES INC,3930316,TX,1999
113AN,AMERICAN AIRLINES INC,3930402,TX,2014
113DX,DELTA AIR LINES INC,3940005,GA,2021
114DN,DELTA AIR LINES INC,3940005,GA,2021
114UW,AMERICAN AIRLINES INC,3930316,TX,1999
115DN,DELTA AIR LINES INC,3940005,GA,2021
115NN,AMERICAN AIRLINES INC,3930402,TX,2014
116DN,DELTA AIR LINES INC,3940305,GA,2021
116DU,DELTA AIR LINES INC,1400010,GA,2019
117AN,AMERICAN AIRLINES INC,3940032,TX,2014
117DX,DELTA AIR LINES INC,3940005,GA,2021
118DY,DELTA AIR LINES INC,3940005,GA,2021
119DN,DELTA AIR LINES INC,3940005,GA,2021
12003,UNITED AIRLINES INC,1386010,IL,
12004,UNITED AIRLINES INC,1386010,IL,2019
12005,UNITED AIRLINES INC,1386010,IL,2019
12006,UNITED AIRLINES INC,1386010,IL,2019
1200K,DELTA AIR LINES INC,1385101,GA,1998
12010,UNITED AIRLINES INC,1386010,IL,2019
12012,UNITED AIRLINES INC,1386010,IL,2020
1201P,DELTA AIR LINES INC,1385101,GA,1998
12020,UNITED AIRLINES INC,1386010,IL,2022
12021,UNITED AIRLINES INC,1386010,IL,2022
12028,AMERICAN AIRLINES INC,3940034,TX,2015
120DN,DELTA AIR LINES INC,3940005,GA,2021
120UA,UNITED AIRLINES INC,1384935,IL,1999
12109,UNITED AIRLINES INC,1384958,IL,1994
12114,UNITED AIRLINES INC,1384958,IL,1995
12116,UNITED AIRLINES INC,1384958,IL,1996
12125,UNITED AIRLINES INC,1384958,IL,1998
12135,UNITED AIRLINES INC,3260214,IL,2003
12136,UNITED AIRLINES INC,3260214,IL,2003
12142,UNITED AIRLINES INC,3260214,IL,2003
12145,UNITED AIRLINES INC,3260214,IL,2003
12157,UNITED AIRLINES INC,3260214,IL,2004
12160,UNITED AIRLINES INC,3260214,IL,2004
12163,UNITED AIRLINES INC,3260214,IL,2004
12166,UNITED AIRLINES INC,3260214,IL,2004
12167,UNITED AIRLINES INC,3260214,IL,2004
12172,UNITED AIRLINES INC,3260214,IL,2004
12175,UNITED AIRLINES INC,3260214,IL,2004
12195,UNITED AIRLINES INC,3260214,IL,2005
121DZ,DELTA AIR LINES INC,3940005,GA,2021
12201,UNITED AIRLINES INC,3260214,IL,2006
12216,UNITED AIRLINES INC,13844BZ,IL,1998
12218,UNITED AIRLINES INC,13844BZ,IL,1998
12221,UNITED AIRLINES INC,13844BZ,IL,1998
12225,UNITED AIRLINES INC,13844BZ,IL,1998
12238,UNITED AIRLINES INC,13844BZ,IL,1999
122DN,DELTA AIR LINES INC,3940005,GA,2021
122UA,UNITED AIRLINES INC,1384935,IL,1999
123DW,DELTA AIR LINES INC,3940005,GA,2021
124DX,DELTA AIR LINES INC,3940005,GA,2021
125DN,DELTA AIR LINES INC,3940005,GA,2021
125UW,AMERICAN AIRLINES INC,3940006,TX,2009
126DN,DELTA AIR LINES INC,3940005,GA,2021
126UW,AMERICAN AIRLINES INC,3940006,TX,2009
12754,UNITED AIRLINES INC,13844D1,IL,2002
127DN,DELTA AIR LINES INC,3940005,GA,2021
127UW,AMERICAN AIRLINES INC,3940006,TX,2010
128DN,DELTA AIR LINES INC,3940005,GA,2021
128UW,AMERICAN AIRLINES INC,3940006,TX,2010
129DN,DELTA AIR LINES INC,3940005,GA,2021
129DU,DELTA AIR LINES INC,1400010,GA,
13013,UNITED AIRLINES INC,1386010,IL,2020
13014,UNITED AIRLINES INC,1386010,IL,2023
13018,UNITED AIRLINES INC,1386010,IL,2022
130DU,DELTA AIR LINES INC,1400010,GA,2020
13110,UNITED AIRLINES INC,1384958,IL,1994
13113,UNITED AIRLINES INC,1384958,IL,1995
13118,UNITED AIRLINES INC,3260214,IL,2002
13123,UNITED AIRLINES INC,3260214,IL,2003
13124,UNITED AIRLINES INC,3260214,IL,2003
13132,UNITED AIRLINES INC,3260214,IL,2003
13133,UNITED AIRLINES INC,3260214,IL,2003
13138,UNITED AIRLINES INC,1384958,IL,1999
13161,UNITED AIRLINES INC,3260214,IL,2004
131DU,DELTA AIR LINES INC,1400010,GA,2020
131EV,DELTA AIR LINES INC,1390016,GA,2009
13202,UNITED AIRLINES INC,3260214,IL,2006
13227,UNITED AIRLINES INC,13844BZ,IL,1999
132DU,DELTA AIR LINES INC,1400010,GA,2020
132EV,DELTA AIR LINES INC,1390016,GA,2009
133DU,DELTA AIR LINES INC,1400010,GA,2020
133EV,DELTA AIR LINES INC,1390016,GA,2009
134DU,DELTA AIR LINES INC,1400010,GA,2020
134EV,DELTA AIR LINES INC,1390016,GA,2009
135DQ,DELTA AIR LINES INC,1400010,GA,2020
135EV,DELTA AIR LINES INC,1390016,GA,2009
135NN,AMERICAN AIRLINES INC,3940032,TX,2015
136AN,AMERICAN AIRLINES INC,3940032,TX,2015
136DQ,DELTA AIR LINES INC,1400010,GA,2020
136EV,DELTA AIR LINES INC,1390016,GA,2009
13716,UNITED AIRLINES INC,13844BY,IL,1998
13718,UNITED AIRLINES INC,13844BY,IL,1999
13720,UNITED AIRLINES INC,13844BY,IL,1999
13750,UNITED AIRLINES INC,13844BY,IL,1999
137AA,AMERICAN AIRLINES INC,3940032,TX,2015
137DU,DELTA AIR LINES INC,1400010,GA,2020
137EV,DELTA AIR LINES INC,1390016,GA,2009
138AN,AMERICAN AIRLINES INC,3940032,TX,2015
138DU,DELTA AIR LINES INC,1400010,GA,2020
138EV,DELTA AIR LINES INC,1390016,GA,2009
13954,UNITED AIRLINES INC,1385609,IL,2015
139AN,AMERICAN AIRLINES INC,3940032,TX,2015
139DU,DELTA AIR LINES INC,1400010,GA,
14001,UNITED AIRLINES INC,1386010,IL,2018
14011,UNITED AIRLINES INC,1386010,IL,2019
14016,UNITED AIRLINES INC,1386010,IL,2022
14019,UNITED AIRLINES INC,1386010,IL,2022
140AN,AMERICAN AIRLINES INC,3940032,TX,2015
140DU,DELTA AIR LINES INC,1400010,GA,
14102,UNITED AIRLINES INC,1384958,IL,1994
14105,UNITED AIRLINES INC,3260214,IL,2002
14106,UNITED AIRLINES INC,1384958,IL,1994
14107,UNITED AIRLINES INC,1384958,IL,1994
14115,UNITED AIRLINES INC,1384958,IL,1995
14116,UNITED AIRLINES INC,3260214,IL,2002
14117,UNITED AIRLINES INC,3260214,IL,2002
14118,UNITED AIRLINES INC,1384958,IL,1997
14120,UNITED AIRLINES INC,1384958,IL,1997
14121,UNITED AIRLINES INC,1384958,IL,1997
14125,UNITED AIRLINES INC,3260214,IL,2003
14143,UNITED AIRLINES INC,3260214,IL,2003
14148,UNITED AIRLINES INC,3260214,IL,2003
14153,UNITED AIRLINES INC,3260214,IL,2003
14158,UNITED AIRLINES INC,3260214,IL,2004
14162,UNITED AIRLINES INC,3260214,IL,2004
14168,UNITED AIRLINES INC,3260214,IL,2004
14173,UNITED AIRLINES INC,3260214,IL,2004
14174,UNITED AIRLINES INC,3260214,IL,2004
14177,UNITED AIRLINES INC,3260214,IL,2005
14179,UNITED AIRLINES INC,3260214,IL,2005
14180,UNITED AIRLINES INC,3260214,IL,2005
14186,UNITED AIRLINES INC,3260214,IL,2005
14188,UNITED AIRLINES INC,3260214,IL,2005
14198,UNITED AIRLINES INC,3260214,IL,2006
141DU,DELTA AIR LINES INC,1400010,GA,
141NN,AMERICAN AIRLINES INC,3940032,TX,2015
14203,UNITED AIRLINES INC,3260214,IL,2006
14204,UNITED AIRLINES INC,3260214,IL,2006
14214,UNITED AIRLINES INC,13844BZ,IL,1998
14219,UNITED AIRLINES INC,13844BZ,IL,1998
14228,UNITED AIRLINES INC,13844BZ,IL,1999
14230,UNITED AIRLINES INC,13844BZ,IL,1999
14231,UNITED AIRLINES INC,13844BZ,IL,1999
14235,UNITED AIRLINES INC,13844BZ,IL,1999
14237,UNITED AIRLINES INC,13844BZ,IL,1999
14240,UNITED AIRLINES INC,13844BZ,IL,1999
14242,UNITED AIRLINES INC,13844BZ,IL,1999
14249,UNITED AIRLINES INC,13844BZ,IL,1999
14250,UNITED AIRLINES INC,13844BZ,IL,1999
142AN,AMERICAN AIRLINES INC,3940032,TX,2015
142DU,DELTA AIR LINES INC,1400010,GA,2022
143AN,AMERICAN AIRLINES INC,3940032,TX,2015
143DU,DELTA AIR LINES INC,1400010,GA,2022
144AN,AMERICAN AIRLINES INC,3940032,TX,2015
144DU,DELTA AIR LINES INC,1400010,GA,2022
14502,UNITED AIRLINES INC,3930916,IL,2023
14503,UNITED AIRLINES INC,3930916,IL,2023
14504,UNITED AIRLINES INC,3930916,IL,2024
14506,UNITED AIRLINES INC,3930916,IL,2024
14507,UNITED AIRLINES INC,3930916,IL,2024
14509,UNITED AIRLINES INC,3930915,IL,2024
14511,UNITED AIRLINES INC,3930916,IL,2024
14512,UNITED AIRLINES INC,3930915,IL,2024
14515,UNITED AIRLINES INC,3930916,IL,2024
14517,UNITED AIRLINES INC,3930916,IL,2024
14518,UNITED AIRLINES INC,3930916,IL,2024
14520,UNITED AIRLINES INC,3930916,IL,2024
14521,UNITED AIRLINES INC,3930916,IL,2024
14523,UNITED AIRLINES INC,3930916,IL,2024
14524,UNITED AIRLINES INC,3930916,IL,2024
14527,UNITED AIRLINES INC,3930916,IL,2024
14529,UNITED AIRLINES INC,3930916,IL,2024
14530,UNITED AIRLINES INC,3930916,IL,2024
14531,UNITED AIRLINES INC,3930916,IL,2025
14533,UNITED AIRLINES INC,3930916,IL,2025
14534,UNITED AIRLINES INC,3930916,IL,2025
14536,UNITED AIRLINES INC,3930916,IL,2025
14539,UNITED AIRLINES INC,3930916,IL,2025
14541,UNITED AIRLINES INC,3930916,IL,2025
14544,UNITED AIRLINES INC,3930916,IL,2025
14546,UNITED AIRLINES INC,3930916,IL,2025
14548,UNITED AIRLINES INC,3930916,IL,2025
14549,UNITED AIRLINES INC,3930916,IL,2025
14554,UNITED AIRLINES INC,3930916,IL,2025
14557,UNITED AIRLINES INC,3930916,IL,
14559,UNITED AIRLINES INC,3930916,IL,2026
14563,UNITED AIRLINES INC,3930916,IL,2025
14564,UNITED AIRLINES INC,3930916,IL,2026
14565,UNITED AIRLINES INC,3930916,IL,2025
14566,UNITED AIRLINES INC,3930916,IL,2026
145AN,AMERICAN AIRLINES INC,3940032,TX,2015
145DQ,DELTA AIR LINES INC,1400010,GA,2022
146AA,AMERICAN AIRLINES INC,3940032,TX,2015
146PQ,DELTA AIR LINES INC,1390016,GA,2007
14704,UNITED AIRLINES INC,13844BY,IL,1998
14731,UNITED AIRLINES INC,13844BY,IL,1999
14735,UNITED AIRLINES INC,13844BY,IL,1999
147AA,AMERICAN AIRLINES INC,3940032,TX,2015
147PQ,DELTA AIR LINES INC,1390016,GA,2007
148AN,AMERICAN AIRLINES INC,3940032,TX,2015
149AN,AMERICAN AIRLINES INC,3940032,TX,2015
150NN,AMERICAN AIRLINES INC,3940032,TX,2015
150UW,AMERICAN AIRLINES INC,3940005,TX,2013
151AN,AMERICAN AIRLINES INC,3940032,TX,2015
151UW,AMERICAN AIRLINES INC,3940005,TX,2013
152AA,AMERICAN AIRLINES INC,3940032,TX,2015
152UW,AMERICAN AIRLINES INC,3940005,TX,2013
153AN,AMERICAN AIRLINES INC,3940032,TX,2015
153PQ,DELTA AIR LINES INC,1390016,GA,2007
153UW,AMERICAN AIRLINES INC,3940005,TX,2013
154AA,AMERICAN AIRLINES INC,3940032,TX,2016
154UW,AMERICAN AIRLINES INC,3940005,TX,2013
155NN,AMERICAN AIRLINES INC,3940032,TX,2016
155UW,AMERICAN AIRLINES INC,3940005,TX,2013
156AN,AMERICAN AIRLINES INC,3940032,TX,2016
156UW,AMERICAN AIRLINES INC,3940005,TX,2013
15710,UNITED AIRLINES INC,13844BY,IL,1998
15712,UNITED AIRLINES INC,13844BY,IL,1998
15751,UNITED AIRLINES INC,13844CA,IL,1999
157AA,AMERICAN AIRLINES INC,3940032,TX,2016
157UW,AMERICAN AIRLINES INC,3940005,TX,2013
158AN,AMERICAN AIRLINES INC,3940032,TX,2016
15969,UNITED AIRLINES INC,1385609,IL,2017
159AN,AMERICAN AIRLINES INC,3940032,TX,2016
16008,UNITED AIRLINES INC,1386010,IL,2019
16009,UNITED AIRLINES INC,1386010,IL,2019
1602,DELTA AIR LINES INC,1385101,GA,1999
1603,DELTA AIR LINES INC,1385101,GA,1999
1604R,DELTA AIR LINES INC,1385101,GA,1999
1605,DELTA AIR LINES INC,1385101,GA,1999
16065,DELTA AIR LINES INC,1385101,GA,1999
160AN,AMERICAN AIRLINES INC,3940032,TX,2016
16147,UNITED AIRLINES INC,3260214,IL,2003
16149,UNITED AIRLINES INC,3260214,IL,2003
16151,UNITED AIRLINES INC,3260214,IL,2003
16170,UNITED AIRLINES INC,3260214,IL,2004
16178,UNITED AIRLINES INC,3260214,IL,2005
16183,UNITED AIRLINES INC,3260214,IL,2005
161AA,AMERICAN AIRLINES INC,3940032,TX,2016
161PQ,DELTA AIR LINES INC,1390016,GA,2008
161UW,AMERICAN AIRLINES INC,3930370,TX,2001
16217,UNITED AIRLINES INC,13844BZ,IL,1998
16234,UNITED AIRLINES INC,13844BZ,IL,1999
162AA,AMERICAN AIRLINES INC,3940032,TX,2016
162PQ,DELTA AIR LINES INC,1390016,GA,2008
162UW,AMERICAN AIRLINES INC,3930370,TX,2001
163AA,AMERICAN AIRLINES INC,3940032,TX,2016
163US,AMERICAN AIRLINES INC,3930370,TX,2001
164NN,AMERICAN AIRLINES INC,3940032,TX,2016
165NN,AMERICAN AIRLINES INC,3940032,TX,2016
165US,AMERICAN AIRLINES INC,3930370,TX,2001
166NN,AMERICAN AIRLINES INC,3940032,TX,2016
166PQ,DELTA AIR LINES INC,1390016,GA,2008
16701,UNITED AIRLINES INC,13844BY,IL,1998
16703,UNITED AIRLINES INC,13844BY,IL,1998
16709,UNITED AIRLINES INC,13844BY,IL,1998
16713,UNITED AIRLINES INC,13844BY,IL,1998
16732,UNITED AIRLINES INC,13844BY,IL,1999
167AN,AMERICAN AIRLINES INC,3940032,TX,2016
169DZ,DELTA AIR LINES INC,1385101,GA,1998
17002,UNITED AIRLINES INC,1386010,IL,2018
17015,UNITED AIRLINES INC,1386010,IL,2023
17017,UNITED AIRLINES INC,1386010,IL,2022
170PQ,DELTA AIR LINES INC,1390016,GA,2008
170US,AMERICAN AIRLINES INC,3930370,TX,2001
17104,UNITED AIRLINES INC,1384958,IL,1994
17105,UNITED AIRLINES INC,1384958,IL,1994
17115,UNITED AIRLINES INC,3260214,IL,2002
17122,UNITED AIRLINES INC,1384958,IL,1997
17126,UNITED AIRLINES INC,1384958,IL,1998
17128,UNITED AIRLINES INC,1384958,IL,1998
17133,UNITED AIRLINES INC,1384958,IL,1998
17138,UNITED AIRLINES INC,3260214,IL,2003
17139,UNITED AIRLINES INC,1384958,IL,2000
17146,UNITED AIRLINES INC,3260214,IL,2003
17159,UNITED AIRLINES INC,3260214,IL,2004
17169,UNITED AIRLINES INC,3260214,IL,2004
17185,UNITED AIRLINES INC,3260214,IL,2005
17196,UNITED AIRLINES INC,3260214,IL,2005
171DN,DELTA AIR LINES INC,1385101,GA,1990
171DZ,DELTA AIR LINES INC,1385101,GA,1998
171UA,UNITED AIRLINES INC,1384935,IL,1989
17233,UNITED AIRLINES INC,13844BZ,IL,1999
17244,UNITED AIRLINES INC,13844BZ,IL,1999
17245,UNITED AIRLINES INC,13844BZ,IL,1999
17272,UNITED AIRLINES INC,13844FZ,IL,2022
17279,UNITED AIRLINES INC,13844FZ,IL,2022
17285,UNITED AIRLINES INC,13844FZ,IL,2022
17289,UNITED AIRLINES INC,13844FZ,IL,2023
17294,UNITED AIRLINES INC,13844FZ,IL,2023
172DN,DELTA AIR LINES INC,1385101,GA,1990
172DZ,DELTA AIR LINES INC,1385101,GA,1998
17312,UNITED AIRLINES INC,13844FZ,IL,2019
17315,UNITED AIRLINES INC,13844FZ,IL,2024
17317,UNITED AIRLINES INC,13844FZ,IL,2023
17328,UNITED AIRLINES INC,13844FZ,IL,2023
17341,UNITED AIRLINES INC,13844FZ,IL,2024
17344,UNITED AIRLINES INC,13844FZ,IL,2024
17346,UNITED AIRLINES INC,13844FZ,IL,2024
17347,UNITED AIRLINES INC,13844FZ,IL,2024
17349,UNITED AIRLINES INC,13844FZ,IL,2024
17355,UNITED AIRLINES INC,13844FZ,IL,2024
17356,UNITED AIRLINES INC,13845FZ,IL,2024
17358,UNITED AIRLINES INC,13845FZ,IL,2024
17359,UNITED AIRLINES INC,13845FZ,IL,2025
17361,UNITED AIRLINES INC,13845FZ,IL,2024
17362,UNITED AIRLINES INC,13845FZ,IL,2024
17363,UNITED AIRLINES INC,13845FZ,IL,2025
17364,UNITED AIRLINES INC,13845FZ,IL,2025
17373,UNITED AIRLINES INC,13845FZ,IL,2025
173DZ,DELTA AIR LINES INC,1385101,GA,1998
17417,UNITED AIRLINES INC,138470A,IL,2025
17421,UNITED AIRLINES INC,138470A,IL,2025
17436,UNITED AIRLINES INC,138470A,IL,2026
17437,UNITED AIRLINES INC,138470A,IL,2026
17438,UNITED AIRLINES INC,138470A,IL,2026
174DN,DELTA AIR LINES INC,1385101,GA,1990
174DZ,DELTA AIR LINES INC,1385101,GA,1998
17550,UNITED AIRLINES INC,138469A,IL,
17557,UNITED AIRLINES INC,138470A,IL,2023
17564,UNITED AIRLINES INC,138470A,IL,2023
17565,UNITED AIRLINES INC,138470A,IL,2023
17566,UNITED AIRLINES INC,138470A,IL,2023
17574,UNITED AIRLINES INC,138470A,IL,2023
175DN,DELTA AIR LINES INC,1385101,GA,1990
175DZ,DELTA AIR LINES INC,1385101,GA,1999
176DZ,DELTA AIR LINES INC,1385101,GA,1999
176PQ,DELTA AIR LINES INC,1390016,GA,2008
176UW,AMERICAN AIRLINES INC,3930370,TX,2001
17719,UNITED AIRLINES INC,13844BY,IL,1999
17730,UNITED AIRLINES INC,13844BY,IL,1999
17752,UNITED AIRLINES INC,13844CA,IL,1999
17753,UNITED AIRLINES INC,13844D1,IL,2002
177DN,DELTA AIR LINES INC,1385101,GA,1991
177DZ,DELTA AIR LINES INC,1385101,GA,1999
177US,AMERICAN AIRLINES INC,3930370,TX,
178DN,DELTA AIR LINES INC,1385101,GA,1991
178DZ,DELTA AIR LINES INC,1385101,GA,2000
178US,AMERICAN AIRLINES INC,3930370,TX,2001
17963,UNITED AIRLINES INC,1385609,IL,2016
179DN,DELTA AIR LINES INC,1385101,GA,1991
1801U,SOUTHWEST AIRLINES CO,13844FZ,TX,2022
1802U,SOUTHWEST AIRLINES CO,13844FZ,TX,2022
1803U,SOUTHWEST AIRLINES CO,13844FZ,TX,2022
1804U,SOUTHWEST AIRLINES CO,13844FZ,TX,2022
1805U,SOUTHWEST AIRLINES CO,13844FZ,TX,2022
1806U,SOUTHWEST AIRLINES CO,13844FZ,TX,2022
1807U,SOUTHWEST AIRLINES CO,13844FZ,TX,2022
1808U,SOUTHWEST AIRLINES INC,13844FZ,TX,2022
1809U,SOUTHWEST AIRLINES CO,13844FZ,TX,2022
180DN,DELTA AIR LINES INC,1385101,GA,1992
1810U,SOUTHWEST AIRLINES CO,13844FZ,TX,2022
18112,UNITED AIRLINES INC,1384958,IL,1995
18119,UNITED AIRLINES INC,1384958,IL,1997
1811U,SOUTHWEST AIRLINES CO,13844FZ,TX,2022
18120,UNITED AIRLINES INC,3260214,IL,2003
181GJ,DELTA AIR LINES INC,1390016,GA,2008
181PQ,DELTA AIR LINES INC,1390016,GA,2008
181UW,AMERICAN AIRLINES INC,3930370,TX,
18220,UNITED AIRLINES INC,13844BZ,IL,1998
18223,UNITED AIRLINES INC,13844BZ,IL,1998
18243,UNITED AIRLINES INC,13844BZ,IL,1999
182GJ,DELTA AIR LINES INC,1390016,GA,2008
182UA,UNITED AIRLINES INC,1384935,IL,1991
183GJ,DELTA AIR LINES INC,1390016,GA,2008
184DN,DELTA AIR LINES INC,1385101,GA,1993
184GJ,DELTA AIR LINES INC,1390016,GA,2008
184US,AMERICAN AIRLINES INC,3930370,TX,2002
185DN,DELTA AIR LINES INC,1385101,GA,1995
185GJ,DELTA AIR LINES INC,1390016,GA,2008
185UW,AMERICAN AIRLINES INC,3930370,TX,2002
186DN,DELTA AIR LINES INC,1385101,GA,1995
186GJ,DELTA AIR LINES INC,1390016,GA,2008
186PQ,DELTA AIR LINES INC,1390016,GA,2008
186US,AMERICAN AIRLINES INC,3940005,TX,2002
187DN,DELTA AIR LINES INC,1385101,GA,1996
187GJ,DELTA AIR LINES INC,1390016,GA,2008
187PQ,DELTA AIR LINES INC,1390016,GA,2008
187US,AMERICAN AIRLINES INC,3940005,TX,2002
188DN,DELTA AIR LINES INC,1385101,GA,1996
188US,AMERICAN AIRLINES INC,3940005,TX,2002
189DN,DELTA AIR LINES INC,1385101,GA,1997
189UW,AMERICAN AIRLINES INC,3930370,TX,2001
1902U,UNITED AIRLINES INC,3940004,IL,2006
190DN,DELTA AIR LINES INC,1385101,GA,1997
190UW,AMERICAN AIRLINES INC,3930370,TX,2001
19117,UNITED AIRLINES INC,1384958,IL,1996
19130,UNITED AIRLINES INC,1384958,IL,1998
19136,UNITED AIRLINES INC,1384958,IL,1999
19141,UNITED AIRLINES INC,1384958,IL,2000
1914U,UNITED AIRLINES INC,3940004,IL,
191DN,DELTA AIR LINES INC,1385101,GA,1997
192DN,DELTA AIR LINES INC,1385101,GA,1997
193DN,DELTA AIR LINES INC,1385101,GA,1997
193UW,AMERICAN AIRLINES INC,3940005,TX,2008
194DN,DELTA AIR LINES INC,1385101,GA,1997
194UA,UNITED AIRLINES INC,1384935,IL,1997
194UW,AMERICAN AIRLINES INC,3940005,TX,
195DN,DELTA AIR LINES INC,1385101,GA,1997
195PQ,DELTA AIR LINES INC,1390016,GA,2008
195UA,UNITED AIRLINES INC,1384935,IL,1997
195UW,AMERICAN AIRLINES INC,3940005,TX,2008
196DN,DELTA AIR LINES INC,1385101,GA,1997
196UW,AMERICAN AIRLINES INC,3940005,TX,2009
197DN,DELTA AIR LINES INC,1385101,GA,1997
197PQ,DELTA AIR LINES INC,1390016,GA,2008
197UA,UNITED AIRLINES INC,1384935,IL,1997
197UW,AMERICAN AIRLINES INC,3940005,TX,2009
198DN,DELTA AIR LINES INC,1385101,GA,1998
198UW,AMERICAN AIRLINES INC,3940005,TX,2013
19951,UNITED AIRLINES INC,1385609,IL,2014
19986,UNITED AIRLINES INC,1385609,IL,2021
199DN,DELTA AIR LINES INC,1385101,GA,1998
199UW,AMERICAN AIRLINES INC,3940005,TX,2013
200NN,AMERICAN AIRLINES INC,3260415,TX,2015
200NV,AMERICAN AIRLINES INC,1384414,TX,2016
200PQ,DELTA AIR LINES INC,1390016,GA,2008
200WN,SOUTHWEST AIRLINES CO,1384404,TX,2005
201LV,SOUTHWEST AIRLINES CO,1384404,TX,2005
201NN,AMERICAN AIRLINES INC,3260415,TX,2015
202HA,HAWAIIAN AIRLINES INC,3930910,HI,2017
202NN,AMERICAN AIRLINES INC,3260415,TX,2015
203NN,AMERICAN AIRLINES INC,3260415,TX,2015
203WN,SOUTHWEST AIRLINES CO,1384404,TX,2005
204HA,HAWAIIAN AIRLINES INC,3930910,HI,2017
204NN,AMERICAN AIRLINES INC,3260415,TX,2015
204UA,UNITED AIRLINES INC,1385219,IL,1999
204WN,SOUTHWEST AIRLINES CO,1384404,TX,2005
205HA,HAWAIIAN AIRLINES INC,3930910,HI,2018
205NN,AMERICAN AIRLINES INC,3260415,TX,2015
205WN,SOUTHWEST AIRLINES CO,1384404,TX,2005
206NN,AMERICAN AIRLINES INC,3260415,TX,2015
206UA,UNITED AIRLINES INC,1385219,IL,1999
206WN,SOUTHWEST AIRLINES CO,1384404,TX,2005
207AN,AMERICAN AIRLINES INC,3260410,TX,2015
207WN,SOUTHWEST AIRLINES CO,1384404,TX,2005
208AN,AMERICAN AIRLINES INC,3260415,TX,2015
208HA,HAWAIIAN AIRLINES INC,3930910,HI,2018
208WN,SOUTHWEST AIRLINES CO,1384404,TX,2005
20904,UNITED AIRLINES INC,1388002,IL,2012
209NN,AMERICAN AIRLINES INC,3260415,TX,2015
209UA,UNITED AIRLINES INC,1385219,IL,1999
209WN,SOUTHWEST AIRLINES CO,1384404,TX,2005
210NN,AMERICAN AIRLINES INC,3260415,TX,2015
210UA,UNITED AIRLINES INC,1385219,IL,2000
210WN,SOUTHWEST AIRLINES CO,1384404,TX,2005
21102,UNITED AIRLINES INC,1385609,IL,2026
21108,UNITED AIRLINES INC,1384958,IL,1994
21129,UNITED AIRLINES INC,3260214,IL,2003
21144,UNITED AIRLINES INC,3260214,IL,2003
21154,UNITED AIRLINES INC,3260214,IL,2003
21197,UNITED AIRLINES INC,3260214,IL,2006
211NN,AMERICAN AIRLINES INC,3260415,TX,2015
211UA,UNITED AIRLINES INC,1385219,IL,2000
211WN,SOUTHWEST AIRLINES CO,1384404,TX,2005
212HA,HAWAIIAN AIRLINES INC,3930910,HI,2018
212NN,AMERICAN AIRLINES INC,3260415,TX,2015
212UA,UNITED AIRLINES INC,1385219,IL,2000
212WN,SOUTHWEST AIRLINES CO,1384404,TX,2005
2135U,UNITED AIRLINES INC,1385256,IL,2017
2136U,UNITED AIRLINES INC,1385256,IL,2017
2138U,UNITED AIRLINES INC,1385256,IL,2017
213NN,AMERICAN AIRLINES INC,3260415,TX,2015
213UA,UNITED AIRLINES INC,1385219,IL,2000
213WN,SOUTHWEST AIRLINES CO,1384404,TX,2005
2140U,UNITED AIRLINES INC,1385256,IL,2017
