airline_name,faa_name,region,contracted_fleet,monthly_rate_usd,stc_status,contract_year,attainment_rate
United Airlines,United Airlines,North America,1000,16500,Partial,2024,0.3
American Airlines,American Airlines,North America,900,15000,Prospective,2024,0.0
Southwest Airlines,Southwest Airlines,North America,300,12500,Pending,2026,0.0
Alaska Air Group,Alaska Airlines,North America,400,14000,Partial,2024,0.125
Qatar Airways,Qatar Airways,Middle East,120,25000,Partial,2024,1.0
Emirates,Emirates,Middle East,232,25000,Partial,2025,0.3
Lufthansa Group,Lufthansa,Europe,850,17000,Pending,2026,0.0
International Airlines Group,British Airways,Europe,500,15000,Partial,2025,0.004
