airline_name,faa_name,region,contracted_fleet,monthly_rate_usd,stc_status,contract_year,attainment_rate,faa_fleet
Alaska Air Group,alaska airlines,North America,400,14000,Partial,2024,0.125,222
American Airlines,american airlines,North America,900,15000,Prospective,2024,0.0,964
Emirates,emirates,Middle East,232,25000,Partial,2025,0.3,0
International Airlines Group,british airways,Europe,500,15000,Partial,2025,0.004,0
Lufthansa Group,lufthansa,Europe,850,17000,Pending,2026,0.0,0
Qatar Airways,qatar airways,Middle East,120,25000,Partial,2024,1.0,0
Southwest Airlines,southwest airlines,North America,300,12500,Pending,2026,0.0,738
United Airlines,united airlines,North America,1000,16500,Partial,2024,0.3,1187
