airline_name,faa_name,region,contracted_fleet,monthly_rate_usd,stc_status,contract_year,attainment_rate,faa_fleet,current_mrr,potential_mrr,revenue_gap_mrr,potential_arr,risk_flag
Alaska Air Group,alaska airlines,North America,400,14000,Partial,2024,0.125,222,700000.0,5600000,4900000.0,67200000,Medium
American Airlines,american airlines,North America,900,15000,Prospective,2024,0.0,964,0.0,13500000,13500000.0,162000000,Competitive Risk
Emirates,emirates,Middle East,232,25000,Partial,2025,0.3,0,1740000.0,5800000,4060000.0,69600000,Medium
International Airlines Group,british airways,Europe,500,15000,Partial,2025,0.004,0,30000.0,7500000,7470000.0,90000000,High
Lufthansa Group,lufthansa,Europe,850,17000,Pending,2026,0.0,0,0.0,14450000,14450000.0,173400000,Critical
Qatar Airways,qatar airways,Middle East,120,25000,Partial,2024,1.0,0,3000000.0,3000000,0.0,36000000,Medium
Southwest Airlines,southwest airlines,North America,300,12500,Pending,2026,0.0,738,0.0,3750000,3750000.0,45000000,High
United Airlines,united airlines,North America,1000,16500,Partial,2024,0.3,1187,4950000.0,16500000,11550000.0,198000000,High
